text_a	label
"你若从我，万事皆休；若不从时，一刀两断！
"	angry
"今洪江口不知甚人把一个读书士子打死，将尸撇在水底。
"	neutral
"你这秀才，姓甚名谁？何方人氏？因甚到此，被人打死？
"	angry
"学生到此，全赖诸公大力匡持。
"	happy
"满堂娇，听吾叮嘱。吾乃南极星君，奉观音菩萨法旨，特送此子与你。异日声名远大，非比等闲。刘贼若回，必害此子，汝可用心保护。汝夫已得龙王相救，日后夫妻相会，子母团圆，雪冤报仇有日也。谨记吾言。快醒，快醒！
"	happy
"今日天色已晚，容待明日抛去江中。
"	neutral
"我婆婆不知音信，我丈夫被这贼谋杀，我的儿子抛在江中，倘若有人收养，算来有十八岁矣，或今日天教相会，亦未可知。
"	sad
"我幼时曾许下一愿，许舍僧鞋一百双。昨五日之前，梦见个和尚手执利刃要索僧鞋，便觉身子不快。
"	fear
"今有臣婿状元陈光蕊，带领家小江州赴任，被稍水刘洪打死，占女为妻；假冒臣婿，为官多年。事属异变。乞陛下立发人马，剿除贼寇。
"	neutral
"儿与外公，统兵至此，与父报仇。今日贼已擒捉，母亲何故反要寻死？母亲若死，孩儿岂能存乎？
"	sad
"朕夜间得一怪梦，梦见一人迎面拜谒，口称是泾河龙王，犯了天条，该人曹官魏征处斩，拜告寡人救他，朕已许诺。今日班前独不见魏征，何也？
"	surprise
"你还先走，带我们进去，进去！
"	angry
"大王何为烦恼？
"	neutral
"小的们，替我折些枯松，编作筏子，取个竹竿作篙，收拾些果品之类，我将去也。
"	neutral
"神仙原来藏在这里！
"	surprise
"灵台方寸山，斜月三星洞
"	neutral
"师父，师父！我弟子志心朝礼，志心朝礼！
"	happy
"孩儿们，我来了也！
"	happy
"休走！借你口中言，传我心内事。我乃正南方花果山水帘洞洞主。你家甚么混世鸟魔，屡次欺我儿孙，我特寻来，要与他见个上下！
"	angry
"我等在此恐作耍成真，或惊动人王，或有禽王、兽王认此犯头，说我们操兵造反，兴师来相杀，汝等都是竹竿木刀，如何对敌？须得锋利剑戟方可。如今奈何？
"	neutral
"小的们，都来领兵器！
"	happy
"汝等弓弩熟谙，兵器精通，奈我这口刀着实榔槺，不遂我意，奈何？
"	sad
"孙悟空
"	neutral
"我乃天差天使，有圣旨在此，请你大王上界。快快报知！
"	neutral
"这个金星老儿乃奸诈之徒！既请老孙，如何教人动刀动枪，阻塞门路？
"	angry
"臣领圣旨，已宣妖仙到了。
"	neutral
"大王，门外有两个独角鬼王，要见大王。
"	neutral
"开路！
"	happy
"又一个爷爷来了。
"	happy
"圣僧，多简慢你。我是落伽山山神土地，蒙菩萨差送鞍辔与汝等的。汝等可努力西行，却莫一时怠慢。
"	happy
"大圣爷爷！今日来家了？
"	surprise
"有妖怪，有妖怪！把我戳了一枪去了！嘴上好不疼呀！
"	angry
"大王赶那两个和尚到那方来？
"	angry
"变！
"	neutral
"正是流泪眼逢流泪眼，断肠人遇断肠人！这一个妇人，不知所哭何事，待我问他一问。
"	sad
